player_name,pitch_type,swings,avg_dev_bat_speed_z,avg_dev_attack_angle_z,avg_dev_swing_path_tilt_z,avg_dev_attack_direction_z
"Doval, Camilo",FC,166,0.069,-0.002,0.087,-0.138
"Kinley, Tyler",SL,372,0.068,0.009,-0.046,0.017
"Lopez, Jacob",FF,223,0.068,0.121,-0.038,0.235
"Vodnik, Victor",FF,218,0.067,0.028,-0.028,-0.066
"Casparius, Ben",FC,129,0.067,0.171,-0.18,0.077
"Giolito, Lucas",CH,286,0.067,0.091,0.117,0.206
"Brown, Hunter",CH,152,0.065,-0.165,0.128,-0.189
"Fried, Max",FC,394,0.065,0.04,0.202,0.094
"Pomeranz, Drew",FF,343,0.064,0.089,-0.126,0.085
"Yamamoto, Yoshinobu",SI,105,0.064,-0.107,0.103,-0.103
"Walker, Taijuan",SI,164,0.064,-0.204,-0.074,-0.098
"Schlittler, Cam",FC,116,0.064,0.051,0.051,0.059
"Mears, Nick",FF,250,0.064,-0.121,0.123,0.0
"Civale, Aaron",FC,263,0.064,-0.025,0.159,-0.013
"Hicks, Jordan",SI,247,0.063,-0.044,0.049,0.011
"Fluharty, Mason",FC,205,0.063,-0.069,0.236,0.098
"Svanson, Matt",ST,113,0.063,0.241,0.038,0.246
"Burns, Chase",SL,138,0.063,-0.101,-0.03,-0.172
"Mattson, Isaac",FF,295,0.063,0.0,-0.073,0.007
"Pepiot, Ryan",CH,344,0.063,0.069,-0.117,-0.018
"Parker, Mitchell",SL,175,0.062,-0.064,0.159,-0.007
"Newcomb, Sean",SI,130,0.06,0.017,-0.074,-0.123
"Hodge, Porter",FF,110,0.06,-0.058,-0.007,0.128
"Bieber, Shane",FF,131,0.059,-0.007,0.098,-0.073
"Rogers, Taylor",SI,165,0.059,-0.028,0.121,0.0
"Hader, Josh",SI,243,0.058,-0.052,0.432,0.012
"Matz, Steven",CH,105,0.058,-0.138,-0.111,-0.06
"Alexander, Tyler",FF,205,0.057,-0.113,0.011,0.038
"Rocker, Kumar",FC,151,0.057,0.328,0.09,0.175
"Williams, Gavin",CU,226,0.057,0.015,-0.087,-0.119
"Bowlan, Jonathan",SL,102,0.056,0.008,-0.084,0.033
"Elder, Bryce",SL,428,0.056,-0.088,-0.118,-0.149
"Woodruff, Brandon",SI,123,0.056,-0.03,0.037,0.019
"Senzatela, Antonio",FF,605,0.056,0.072,-0.068,0.075
"Peralta, Wandy",CH,200,0.056,0.01,0.037,0.143
"Megill, Trevor",FF,238,0.056,-0.007,-0.026,-0.049
"Lord, Brad",FF,538,0.055,0.132,-0.061,0.08
"Festa, David",SL,106,0.055,-0.114,-0.019,-0.071
"Crochet, Garrett",ST,246,0.055,0.008,0.244,0.163
"Ohl, Pierson",CH,120,0.055,-0.077,-0.12,0.133
"Akin, Keegan",FF,265,0.055,-0.083,0.039,0.076
"Severino, Luis",FF,367,0.054,-0.187,-0.052,-0.118
"Sands, Cole",FF,157,0.054,0.041,0.011,0.13
"Ogasawara, Shinnosuke",FF,116,0.053,-0.054,-0.021,0.076
"Rocker, Kumar",FF,121,0.052,-0.012,-0.042,-0.107
"Estrada, Jeremiah",FF,395,0.052,-0.125,0.152,-0.043
"Ashcraft, Graham",FC,217,0.051,0.007,0.136,-0.023
"Brogdon, Connor",FF,153,0.051,0.039,0.04,-0.066
"Castillo, Luis",SL,269,0.05,-0.037,-0.097,-0.063
"Eflin, Zach",SI,102,0.05,0.108,0.018,0.033
"Doval, Camilo",SL,254,0.049,-0.043,-0.066,-0.078
"Abreu, Bryan",FF,266,0.049,-0.047,-0.044,-0.09
"Kinley, Tyler",FF,106,0.049,0.361,0.224,0.315
"Graceffo, Gordon",FF,158,0.049,-0.021,0.054,-0.014
"Ferguson, Tyler",FF,198,0.049,0.034,-0.099,-0.076
"Cease, Dylan",FF,651,0.048,-0.065,0.123,-0.041
"Wacha, Michael",SL,152,0.047,0.03,0.035,0.036
"Mize, Casey",SI,158,0.047,-0.055,0.017,0.012
"Rocker, Kumar",SI,127,0.046,-0.118,-0.052,-0.153
"Molina, Anthony",FF,125,0.046,-0.035,0.083,-0.045
"Schlittler, Cam",FF,388,0.044,-0.071,-0.014,-0.032
"Festa, Matt",FF,167,0.044,0.08,-0.212,0.075
"Rodríguez, Yariel",FF,195,0.044,0.09,-0.062,-0.055
"Misiorowski, Jacob",FF,346,0.044,0.01,-0.088,-0.018
"Pepiot, Ryan",FF,585,0.044,0.022,-0.042,0.084
"López, Pablo",FF,265,0.044,0.021,-0.06,0.024
"Wacha, Michael",FF,318,0.044,0.016,0.087,-0.029
"Gausman, Kevin",SL,100,0.043,-0.046,-0.213,-0.076
"Clarke, Taylor",SL,166,0.043,-0.038,-0.141,0.068
"Kerkering, Orion",ST,189,0.043,0.09,-0.142,0.016
