player_name,pitch_type,swings,avg_physics,avg_xwoba,whiff_rate,avg_launch_speed,avg_chase_deviation,outside_zone_pitches,raw_chase_rate,physics_z,chase_z,discomfort_score
"Bubic, Kris",CH,178,-0.1698,0.2078,0.3708,79.2344,0.0831,217,0.4194,-0.25,1.3021,0.0303
"Bubic, Kris",FF,320,-0.1532,0.2614,0.2594,82.0774,0.0103,272,0.25,-0.2252,0.0171,-0.0047
"Bubic, Kris",SL,102,0.3276,0.3,0.2843,84.5906,0.0207,106,0.3208,0.4957,0.1997,0.017
"Bubic, Kris",ST,129,0.127,0.2138,0.2326,80.864,0.0158,156,0.3013,0.1949,0.1144,0.0077
"Buehler, Walker",FC,180,0.1599,0.394,0.1889,81.6604,0.0742,156,0.359,0.2443,1.1442,0.0373
"Buehler, Walker",FF,185,-0.9343,0.4141,0.1189,86.3618,-0.0818,261,0.1418,-1.3962,-1.6108,-0.0768
"Buehler, Walker",SI,134,-0.1448,0.3468,0.0448,83.2414,-0.0661,150,0.2,-0.2126,-1.3336,-0.0418
"Buehler, Walker",SL,158,-0.5322,0.3206,0.2025,82.5211,-0.0271,179,0.2905,-0.7933,-0.6443,-0.0361
"Bummer, Aaron",CU,124,0.0095,0.2795,0.2984,82.6962,0.1109,150,0.4133,0.0188,1.7926,0.05
"Bummer, Aaron",SI,104,0.4659,0.3112,0.0962,85.536,-0.0515,132,0.1742,0.703,-1.0741,-0.0135
"Burke, Brock",CH,116,-0.0495,0.2484,0.2328,80.4063,0.0354,111,0.3964,-0.0697,0.4598,0.0111
"Burke, Brock",FF,211,0.0761,0.3089,0.1943,83.9164,-0.0635,173,0.1734,0.1186,-1.2862,-0.0329
"Burke, Brock",SL,116,0.1905,0.2633,0.2414,78.6075,-0.0764,103,0.233,0.2901,-1.5155,-0.0352
"Burke, Sean",FF,505,0.6146,0.269,0.2178,83.141,0.029,488,0.2684,0.926,0.3474,0.031
"Burke, Sean",SL,254,-0.1788,0.3561,0.2559,83.248,0.0021,248,0.3226,-0.2635,-0.1283,-0.0096
"Burnes, Corbin",FC,214,-0.5302,0.285,0.1776,84.572,0.0157,239,0.272,-0.7903,0.1127,-0.0151
"Burns, Chase",FF,233,-0.4407,0.2899,0.2275,84.1869,-0.0047,176,0.2159,-0.6561,-0.2492,-0.022
"Burns, Chase",SL,138,0.361,0.2055,0.442,80.5014,0.1253,149,0.443,0.5458,2.0469,0.0692
"Burrows, Mike",CH,192,-0.2562,0.2006,0.4219,78.9206,0.0926,180,0.4222,-0.3796,1.4695,0.0319
"Burrows, Mike",FF,278,-0.3451,0.3582,0.1367,87.0144,-0.0351,251,0.2032,-0.5129,-0.7855,-0.0336
"Burrows, Mike",SL,118,-1.1333,0.2957,0.2288,83.921,-0.085,149,0.2416,-1.6945,-1.6671,-0.0852
"Buttó, José",FF,139,-0.22,0.3425,0.2518,86.0129,-0.0519,153,0.183,-0.3252,-1.0812,-0.0374
"Buttó, José",SL,160,-0.4901,0.25,0.35,82.202,0.0451,189,0.3598,-0.7303,0.6304,0.0006
"Cabrera, Edward",CH,267,-0.4028,0.252,0.2584,83.1802,0.0169,320,0.3469,-0.5993,0.1338,-0.0101
"Cabrera, Edward",CU,180,-0.1724,0.1733,0.4278,81.1725,0.0806,260,0.3731,-0.254,1.2574,0.0289
"Cabrera, Edward",FF,112,1.1527,0.4174,0.1696,88.2429,-0.077,143,0.1538,1.7327,-1.5247,-0.0022
"Cabrera, Edward",SI,190,-0.7114,0.4008,0.0947,88.4176,-0.062,164,0.1951,-1.062,-1.2604,-0.0594
"Cabrera, Edward",SL,173,-0.1126,0.2396,0.4046,85.3446,-0.0109,197,0.3096,-0.1643,-0.3573,-0.0137
"Cameron, Noah",CH,183,-0.0361,0.2642,0.4262,81.49,-0.0565,208,0.2981,-0.0495,-1.1633,-0.0333
"Cameron, Noah",CU,121,0.3169,0.1648,0.2975,79.5216,0.0669,157,0.3567,0.4796,1.0167,0.0392
"Cameron, Noah",FC,201,-0.3172,0.3521,0.2139,81.7493,0.0253,190,0.2842,-0.471,0.2814,-0.0031
"Cameron, Noah",FF,229,0.4493,0.3638,0.0873,86.1586,-0.0843,250,0.152,0.6782,-1.6549,-0.0302
"Cameron, Noah",SL,158,-0.3292,0.2454,0.2848,83.2454,0.0854,148,0.3986,-0.4891,1.343,0.0259
"Canning, Griffin",CH,157,-0.5254,0.2663,0.2293,83.486,-0.0428,135,0.2889,-0.7832,-0.9209,-0.0435
"Canning, Griffin",FF,161,-0.042,0.381,0.1615,85.0715,-0.0601,238,0.1681,-0.0585,-1.2273,-0.0353
"Canning, Griffin",SL,192,-0.1603,0.3043,0.3542,82.7026,0.0005,205,0.3268,-0.2358,-0.1563,-0.0098
"Cannon, Jonathan",CH,183,-0.7901,0.27,0.2131,79.3874,-0.0195,202,0.3218,-1.1801,-0.5091,-0.0413
"Cannon, Jonathan",FC,175,-0.4226,0.3549,0.24,82.4619,-0.0672,153,0.1961,-0.6291,-1.3519,-0.0519
"Cannon, Jonathan",FF,179,0.065,0.2273,0.2291,82.519,0.0812,161,0.3106,0.102,1.2691,0.0375
"Cannon, Jonathan",SI,161,-0.383,0.3852,0.0994,88.4008,-0.0652,159,0.1887,-0.5697,-1.3164,-0.0496
"Cano, Yennier",SI,190,-0.3189,0.2546,0.1895,85.8904,0.0313,180,0.2944,-0.4736,0.3876,-0.0002
"Cantillo, Joey",CH,215,1.9186,0.2011,0.4884,78.3596,-0.0277,255,0.3137,2.8809,-0.6542,0.0483
"Cantillo, Joey",FF,277,0.4941,0.3692,0.1264,85.6775,-0.0946,268,0.1418,0.7453,-1.8365,-0.0336
"Casparius, Ben",FC,127,0.4434,0.2682,0.1969,80.8786,0.0455,87,0.3218,0.6693,0.6383,0.0331
"Casparius, Ben",FF,173,0.8139,0.3422,0.3064,85.3432,0.0415,182,0.2802,1.2248,0.5675,0.0439
