batter,batter_name,pitch_type,pitches_seen,swings,avg_bat_speed,avg_swing_length,avg_attack_angle,avg_attack_direction,avg_swing_path_tilt,whiff_rate,called_strike_rate,hard_hit_rate,contact_swings,avg_launch_speed,avg_launch_angle,avg_xwoba,outside_zone_pitches,chases,batter_chase_rate
573262,"Flaherty, Jack",CH,213,92,69.824,7.788,12.017,-5.169,31.056,0.07,0.075,0.089,71,82.048,14.472,0.399,140,40,0.286
573262,"Flaherty, Jack",CU,172,67,70.009,7.888,15.852,-12.952,32.779,0.064,0.215,0.076,53,83.491,7.019,0.263,96,30,0.312
573262,"Flaherty, Jack",FC,202,94,70.11,7.423,10.276,-2.979,31.168,0.084,0.198,0.124,73,84.878,29.356,0.355,86,16,0.186
573262,"Flaherty, Jack",FF,920,375,69.765,7.129,8.417,3.984,28.919,0.064,0.21,0.089,295,86.704,32.963,0.338,400,53,0.132
573262,"Flaherty, Jack",FS,88,41,68.023,7.705,11.288,-12.359,33.085,0.125,0.034,0.08,26,80.604,14.074,0.259,57,17,0.298
573262,"Flaherty, Jack",SI,264,108,68.963,7.08,7.086,6.877,30.851,0.064,0.246,0.087,84,84.318,16.821,0.347,113,27,0.239
573262,"Flaherty, Jack",SL,243,110,68.883,7.738,12.169,-10.799,31.71,0.078,0.173,0.099,83,84.102,12.807,0.267,134,40,0.299
573262,"Flaherty, Jack",ST,122,42,69.133,7.514,11.747,-6.51,31.06,0.066,0.156,0.041,31,76.729,19.29,0.353,73,16,0.219
575929,"Mlodzinski, Carmen",CH,181,89,73.994,8.266,14.306,-10.513,35.667,0.149,0.133,0.094,56,83.134,6.339,0.365,105,39,0.371
575929,"Mlodzinski, Carmen",CU,120,55,73.582,8.198,13.481,-13.317,33.714,0.183,0.208,0.092,29,87.886,6.448,0.268,63,22,0.349
575929,"Mlodzinski, Carmen",FC,120,63,75.189,7.898,8.922,1.84,31.981,0.125,0.175,0.108,45,82.369,16.756,0.373,59,23,0.39
575929,"Mlodzinski, Carmen",FF,672,301,74.24,7.405,3.032,10.467,31.196,0.094,0.161,0.095,212,84.683,28.717,0.429,300,55,0.183
575929,"Mlodzinski, Carmen",FS,69,34,73.77,8.388,15.092,-11.445,34.324,0.217,0.101,0.072,14,87.15,0.714,0.3,38,13,0.342
575929,"Mlodzinski, Carmen",SI,392,177,74.924,7.512,3.244,7.88,33.851,0.041,0.207,0.097,145,82.385,2.878,0.333,166,38,0.229
575929,"Mlodzinski, Carmen",SL,362,200,73.897,8.24,12.387,-6.444,32.63,0.191,0.13,0.088,122,81.32,9.066,0.31,190,78,0.411
575929,"Mlodzinski, Carmen",ST,189,107,73.169,8.231,14.734,-12.613,31.91,0.228,0.085,0.101,58,84.809,21.81,0.341,109,44,0.404
578428,"Ray, Robbie",CH,108,51,69.559,7.48,11.285,-11.175,35.353,0.148,0.139,0.065,33,79.967,4.091,0.287,68,24,0.353
578428,"Ray, Robbie",CU,79,33,66.376,7.179,9.645,-7.182,38.101,0.089,0.215,0.0,24,76.621,5.833,0.226,47,19,0.404
578428,"Ray, Robbie",FF,488,217,66.518,5.934,-2.392,15.714,30.789,0.055,0.244,0.064,177,80.694,24.452,0.325,226,65,0.288
578428,"Ray, Robbie",SI,279,109,67.188,6.031,-4.501,13.21,35.315,0.029,0.344,0.068,95,78.432,-7.115,0.286,103,30,0.291
578428,"Ray, Robbie",SL,195,100,65.771,6.978,5.835,-4.471,33.553,0.103,0.149,0.097,77,80.471,7.558,0.282,107,41,0.383
578428,"Ray, Robbie",ST,108,56,62.896,6.927,7.212,-0.576,31.831,0.111,0.176,0.037,42,76.54,15.5,0.213,61,28,0.459
592192,"Baz, Shane",FF,157,80,68.009,7.019,8.807,4.84,31.099,0.108,0.217,0.07,59,82.99,34.373,0.235,65,21,0.323
592192,"Baz, Shane",SI,99,44,67.679,7.093,8.388,6.627,32.134,0.03,0.222,0.131,35,85.774,18.629,0.375,38,6,0.158
592206,"Sale, Chris",CH,220,142,70.959,8.235,20.979,-13.499,41.133,0.218,0.027,0.064,77,80.216,8.364,0.278,147,73,0.497
592206,"Sale, Chris",CU,171,95,67.756,8.08,20.589,-13.913,42.04,0.211,0.047,0.064,54,80.256,3.796,0.307,116,48,0.414
592206,"Sale, Chris",FC,124,77,71.339,7.616,15.266,-2.742,37.96,0.137,0.081,0.081,54,78.831,18.185,0.297,54,15,0.278
592206,"Sale, Chris",FF,597,351,68.365,6.87,5.878,8.459,37.492,0.119,0.137,0.087,246,82.407,25.663,0.309,237,82,0.346
592206,"Sale, Chris",FS,52,30,69.486,8.028,21.478,-12.919,43.106,0.135,0.058,0.077,21,79.367,7.524,0.354,30,12,0.4
592206,"Sale, Chris",KC,60,36,69.22,8.249,22.075,-14.243,41.524,0.317,0.017,0.067,17,83.594,-6.882,0.325,41,19,0.463
592206,"Sale, Chris",SI,271,153,70.483,7.048,6.224,7.376,42.566,0.033,0.137,0.1,130,83.526,10.562,0.375,127,47,0.37
592206,"Sale, Chris",SL,474,271,67.41,8.078,18.412,-9.938,39.397,0.224,0.068,0.053,147,78.718,6.467,0.262,299,127,0.425
592206,"Sale, Chris",ST,231,146,67.455,8.096,19.278,-13.602,39.767,0.169,0.052,0.078,99,81.205,23.5,0.242,135,65,0.481
